SMU,64,3901.4048941427986,3899.9689627875496
Southern Mississippi,34,3116.8400313048714,3928.3996125884278
Stanford,71,4197.1131130691765,4101.146765378777
Syracuse,103,5537.420251333631,4287.4560820533725
TCU,50,3117.0575840437923,3406.5632389276284
Temple,126,5307.889727027939,2919.351707531477
Tennessee,21,2764.5313254413877,3993.274354938933
Texas,100,4385.419482110187,3509.0516270422645
Texas A&M,98,4614.090938584285,3688.041679954642
Texas State,20,2597.7570356612114,3787.8524715330814
Texas Tech,94,4791.641461194487,4077.2514543019142
UTEP,3,2605.4780730600237,4853.129082432819
UT San Antonio,0,1992.5595817382625,4933.282075627099
Toledo,95,5510.497738549552,4517.387985104794
Troy,89,3854.483290815419,3375.788196091426
Tulane,37,3231.103081995001,3827.2252192511864
Tulsa,36,3242.3148817690158,3984.1852729240977
Utah,94,3904.791032784083,3263.540348597462
Utah State,123,6370.498161581067,3836.268421220137
Vanderbilt,63,3889.238615511124,3933.667503818539
Virginia,76,3877.7698416490894,3706.5350753409334
Virginia Tech,42,3808.334726917751,4431.002688093418
Wake Forest,64,4516.882892330855,4510.297270567699
Washington,80,3539.9525601116707,3271.9677016726278
Washington State,107,5180.293889129813,3979.880861969003
West Virginia,118,5926.374040578402,4069.562719293074
Western Kentucky,16,2904.5166015365694,4391.808851168339
Western Michigan,59,4260.20664525452,4372.72387211833
Wisconsin,71,4122.103139170234,4027.6741913896326
Wyoming,53,2988.521273696253,3211.8082299969947
Alabama,129,6668.688533914054,2199.541209121331
UAB,40,3078.544708015835,3693.9180709326156
Appalachian State,74,3700.249308283788,3355.374266888089
Arizona,79,4076.5731120682085,3671.896034962183
Arizona State,93,4284.227178923963,3478.9256864126337
Arkansas,31,2627.7718879966224,3616.6678797029904
Arkansas State,42,3515.8675774060716,4178.064508641605
Army,45,3637.3886084017527,4093.7450244309694
Auburn,107,3569.1540195294033,2452.593898524765
Ball State,20,2729.5053404765504,4368.653791500167
Baylor,71,3600.458710509462,3486.239791274244
Boise State,62,3839.2719541765596,3763.204598856729
Boston College,100,4027.0341766042216,3095.778223131308
Bowling Green,19,2807.1723959402425,4580.680468881924
Buffalo,49,3614.3400153978846,4148.810751436729
BYU,56,3135.7935128421864,3315.560134031126
California,73,2936.7528764189715,2800.3103649323757
UCLA,67,3340.6450684899482,3405.6678106072245
UCF,117,5606.234396314436,3220.0427167884204
Central Michigan,8,1936.0317521551913,3971.736462611867
Charlotte,3,2146.296020419908,4495.715371978406
Cincinnati,89,4150.635650871622,3364.126215766232
Clemson,128,6235.00372994744,2211.54775156387
Coastal Carolina,14,2640.3525561825195,4926.051044740747
Colorado,76,3586.26158513839,3334.431849850678
Colorado State,13,2804.723344606254,4916.596787168466
Connecticut,1,2402.9965379536407,5914.684698795292
Duke,69,3384.1031586556,3418.5936995624375
Eastern Michigan,24,2984.4153871458766,4311.354056785385
East Carolina,32,2832.3750937588743,3873.8852751005948
Florida International,50,3877.6347749857964,4330.286046880888
Florida,110,4276.512250420792,2842.2923858302083
Florida Atlantic,53,3570.867081392831,3925.2648795234004
Florida State,68,2920.0317595170523,2893.1192199764514
